T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,IV_MC
0.46269678302532513,5000.0,2065.8,2054.25,-11.55,2055.86,-9.94,0.31871101657340856,0.29317162110079004
0.46269678302532513,5900.0,1215.05,1219.69,4.64,1215.99,0.94,0.23013049089714524,0.23120964617467188
0.46269678302532513,6625.0,613.6,610.51,-3.09,601.14,-12.46,0.190369490191258,0.18250568586236543
0.46269678302532513,7325.0,163.5,165.89,2.39,158.79,-4.71,0.13932422516383344,0.13669520258216422
0.46269678302532513,7675.0,56.25,56.2,-0.05,55.68,-0.57,0.1250234901702948,0.12456478907073977
0.46269678302532513,8400.0,4.550000000000001,5.12,0.57,6.05,1.5,0.12214297135514653,0.12769207109345912
0.46269678302532513,9000.0,0.925,0.86,-0.06,1.27,0.34,0.13380260033651173,0.13845807794035303
0.5585215605749486,5000.0,2087.4,2075.82,-11.58,2077.92,-9.48,0.30788725403122735,0.28886743700682066
0.5585215605749486,5500.0,1622.05,1611.99,-10.06,1613.04,-9.01,0.26905518372420023,0.25746117719646283
0.5585215605749486,6275.0,940.7,932.59,-8.11,921.83,-18.87,0.21599048203771148,0.20264489736605587
0.5585215605749486,6975.0,406.15,405.26,-0.89,395.6,-10.55,0.16634322944457397,0.16112107980657606
0.5585215605749486,7325.0,206.4,206.32,-0.08,199.78,-6.62,0.14428995069003453,0.14099511648147628
0.5585215605749486,8000.0,31.3,30.47,-0.83,31.04,-0.26,0.12317359569566207,0.12290181368689743
0.5585215605749486,8800.0,2.85,3.19,0.34,3.44,0.59,0.12597751288318576,0.12919671874109387
0.5585215605749486,9400.0,0.775,0.71,-0.07,0.97,0.19,0.1371721232850984,0.14028745167103365
0.6351813826146475,4400.0,2668.1499999999996,2658.7,-9.45,2657.44,-10.71,0.34371400569798183,0.3091006673587687
0.6351813826146475,5000.0,2102.0,2093.23,-8.77,2098.25,-3.75,0.29675896537473495,0.2903423685774784
0.6351813826146475,5600.0,1552.15,1544.25,-7.9,1538.86,-13.29,0.2564463882476429,0.2422206832482166
0.6351813826146475,5900.0,1287.4,1279.6,-7.8,1268.57,-18.83,0.23771478163447235,0.22169891158346963
0.6351813826146475,6625.0,692.6500000000001,686.7,-5.95,675.98,-16.67,0.19180726672903178,0.18295003675148327
0.6351813826146475,7325.0,238.85,238.38,-0.47,229.4,-9.45,0.1472142194496382,0.1428460432949321
0.6351813826146475,8000.0,43.85,42.11,-1.74,41.31,-2.54,0.1250937716774954,0.12291660906550139
0.6351813826146475,8400.0,13.899999999999999,14.02,0.12,14.98,1.08,0.12286440638061147,0.12469675116343513
0.6351813826146475,9000.0,2.775,3.12,0.34,3.49,0.71,0.12701970109305302,0.13088735217844577
0.6351813826146475,9800.0,0.625,0.52,-0.11,0.56,-0.06,0.1414704904252555,0.14011456284891635
0.6680355920602327,6400.0,882.8,874.55,-8.25,863.48,-19.32,0.20678218203954843,0.19552818101958644
0.6680355920602327,6625.0,706.8,700.55,-6.25,686.78,-20.02,0.1920318903839815,0.1816659214053592
0.6680355920602327,7320.0,255.10000000000002,254.51,-0.59,244.27,-10.83,0.1486704090521736,0.1438070563860612
0.6680355920602327,8000.0,49.75,47.69,-2.06,47.05,-2.7,0.12592856848845352,0.12379040242511141
0.6680355920602327,8400.0,16.450000000000003,16.32,-0.13,17.33,0.88,0.12327871760526088,0.12460880931749498
0.7118412046543463,5000.0,2121.0,2110.65,-10.35,2105.01,-15.99,0.2943197999669442,0.26884499370221726
0.7118412046543463,6200.0,1063.3,1053.06,-10.24,1037.1,-26.2,0.2195751421236449,0.20297575930772033
0.7118412046543463,6975.0,478.70000000000005,473.45,-5.25,461.8,-16.9,0.17127935552989418,0.16381119079237355
0.7118412046543463,7325.0,273.0,270.1,-2.9,260.36,-12.64,0.15087353348875218,0.14538737154944845
0.7118412046543463,8000.0,58.65,55.65,-3.0,54.96,-3.69,0.12746875421624773,0.12481482979356476
0.7118412046543463,8800.0,7.1,7.47,0.37,8.1,1.0,0.12471793033917468,0.1274010981982345
0.7118412046543463,9000.0,4.3,4.73,0.43,5.34,1.04,0.12604108681513093,0.12998895267092925
0.7118412046543463,9800.0,0.875,0.87,-0.0,0.89,0.01,0.1370791814498465,0.13730293788236209
0.8076659822039699,5950.0,1304.55,1294.49,-10.06,1274.91,-29.64,0.2325333472437718,0.21221129809009703
0.8076659822039699,6625.0,769.7,757.6,-12.1,736.99,-32.71,0.19535983455954237,0.18001270154805485
0.8076659822039699,6975.0,521.95,514.17,-7.78,496.92,-25.03,0.17409484481438367,0.16366207160738142
0.8076659822039699,7675.0,162.45,158.55,-3.9,152.8,-9.65,0.13898223809704324,0.13456855883007388
0.8076659822039699,8400.0,30.65,28.52,-2.13,28.06,-2.59,0.12606934163222064,0.1234200238564858
0.8076659822039699,8800.0,11.75,11.37,-0.38,11.71,-0.04,0.12584395420677963,0.125772118589222
0.8076659822039699,9200.0,4.65,4.84,0.19,5.01,0.36,0.12776002447028084,0.12912305879755837
0.8843258042436687,4500.0,2613.55,2607.61,-5.94,2603.18,-10.37,0.30970063589015856,0.2894459716996267
0.8843258042436687,5575.0,1623.45,1638.91,15.46,1624.7,1.25,0.23107251855903094,0.23215199396422845
0.8843258042436687,5900.0,1367.85,1361.31,-6.54,1348.76,-19.09,0.23178343148959804,0.21920694685487688
0.8843258042436687,6625.0,797.75,787.8,-9.95,766.69,-31.06,0.19475452188709516,0.18083432445314876
0.8843258042436687,7325.0,343.4,340.0,-3.4,325.7,-17.7,0.1563436132835877,0.14949225196897714
0.8843258042436687,8000.0,96.4,92.35,-4.05,88.59,-7.81,0.13223012393330758,0.12800757651280648
0.8843258042436687,8400.0,39.8,37.0,-2.8,34.85,-4.95,0.12722675013534707,0.1229226780449497
0.8843258042436687,9000.0,10.55,10.04,-0.51,10.57,0.02,0.1271676195261077,0.1272019365314831
0.8843258042436687,9800.0,1.9,2.16,0.26,1.93,0.03,0.13139526877182175,0.13166265680983358
0.8843258042436687,10200.0,0.9750000000000001,1.07,0.1,1.12,0.14,0.13612318007738597,0.13802245789085263
0.919917864476386,5500.0,1720.9499999999998,1714.02,-6.93,1701.32,-19.63,0.2528303136337856,0.23638053578533394
0.919917864476386,6545.0,870.0,860.51,-9.49,841.91,-28.09,0.19894484772942983,0.18619126381497628
0.919917864476386,7305.0,367.95000000000005,364.76,-3.19,348.31,-19.64,0.15820416011877217,0.15075842331265482
0.919917864476386,7680.0,195.95,194.35,-1.6,186.43,-9.52,0.1416258751894711,0.13768102103752336
0.919917864476386,8400.0,43.85,41.38,-2.47,39.85,-4.0,0.12732919031240322,0.12410553589925741
0.9609856262833676,5000.0,2174.75,2166.65,-8.1,2157.81,-16.94,0.28013963307818973,0.2605191315568121
0.9609856262833676,5500.0,1733.85,1725.21,-8.64,1715.11,-18.74,0.2532344780427754,0.23826263380333373
0.9609856262833676,6300.0,1072.95,1062.59,-10.36,1046.3,-26.65,0.21214607971486416,0.19891289770925116
0.9609856262833676,6975.0,584.15,576.83,-7.32,554.47,-29.68,0.17659538085958537,0.16516744864293792
0.9609856262833676,7675.0,212.35000000000002,210.19,-2.16,200.63,-11.72,0.14340330040218677,0.13870998272095886
0.9609856262833676,8000.0,114.35,111.01,-3.34,105.96,-8.39,0.13399776227440635,0.1298771225431879
0.9609856262833676,8700.0,26.2,24.59,-1.61,24.0,-2.2,0.12675720664396237,0.12433597587797697
0.9609856262833676,9400.0,6.3,6.15,-0.15,6.4,0.1,0.1290020778878626,0.12928736646465158
0.9609856262833676,9800.0,3.0,2.99,-0.01,3.03,0.03,0.13207683054742259,0.13224589962821529
