Maturity,Strike,Market_Price,Model_Analytical,Model_MC_Params,Diff_Ana,Diff_MC
0.15605749486652978,400.0,43.58,43.24573878702344,43.547076229854724,-0.334261212976557,-0.032923770145274034
0.15605749486652978,420.0,32.5,32.63654340300147,32.939214746438324,0.13654340300146828,0.43921474643832425
0.15605749486652978,440.0,24.15,24.000982111971865,24.285234074843856,-0.14901788802813343,0.13523407484385785
0.15605749486652978,460.0,17.45,17.201967320967384,17.452937047288003,-0.24803267903261528,0.0029370472880039245
0.2327173169062286,420.0,40.25,41.13345277555618,41.41914070601035,0.8834527755561794,1.169140706010353
0.2327173169062286,460.0,24.4,25.22993961403796,25.474096037502818,0.8299396140379613,1.0740960375028195
0.30937713894592744,400.0,60.01,58.49760253478689,58.764961495128745,-1.5123974652131054,-1.2450385048712533
0.30937713894592744,420.0,48.5,48.49239354435835,48.75330603325071,-0.007606455641649745,0.2533060332507091
0.30937713894592744,440.0,40.35,39.82521555988731,40.07123154106708,-0.5247844401126898,-0.2787684589329231
0.30937713894592744,460.0,33.02,32.41568733769191,32.640395611070346,-0.6043126623080965,-0.379604388929657
0.4024640657084189,400.0,65.9,66.14055905681153,66.3793600565343,0.24055905681152012,0.4793600565342899
0.4024640657084189,440.0,46.75,47.789021668217345,48.005535762341566,1.0390216682173445,1.255535762341566
0.8268309377138946,400.0,93.67,93.31571627922781,93.4599901651072,-0.3542837207721874,-0.21000983489280145
0.8268309377138946,420.0,83.8,84.36800242153322,84.5021934437103,0.5680024215332224,0.7021934437102999
0.8268309377138946,440.0,74.75,76.1810862238923,76.30339581598966,1.4310862238922937,1.55339581598966
0.8268309377138946,460.0,72.55,68.71040581424162,68.81955699601608,-3.839594185758372,-3.730443003983922
0.9034907597535934,440.0,79.56,80.44536369181216,80.55655230034276,0.8853636918121595,0.9965523003427563
0.9034907597535934,460.0,72.0,73.01368852560682,73.11218424647197,1.013688525606824,1.1121842464719691
