Maturity,Strike,Market_Price,Model_Analytical,Model_MC_Params,Diff_Ana,Diff_MC
0.15605749486652978,170.0,18.2,17.802547142581133,17.993153672073447,-0.39745285741886605,-0.20684632792655222
0.15605749486652978,180.0,12.75,12.372892619111411,12.578150728152892,-0.37710738088858875,-0.1718492718471083
0.15605749486652978,185.0,10.45,10.147370159944103,10.349541270247201,-0.30262984005589644,-0.10045872975279835
0.15605749486652978,195.0,6.8,6.63469340263206,6.812020519208701,-0.16530659736794018,0.012020519208701508
0.2327173169062286,170.0,20.73,20.77125632976204,20.98332308589322,0.041256329762038746,0.25332308589321784
0.2327173169062286,180.0,15.08,15.451724878025175,15.672247512774746,0.37172487802517473,0.5922475127747457
0.30937713894592744,170.0,23.0,23.354263002349853,23.574505133911373,0.3542630023498532,0.5745051339113729
0.30937713894592744,180.0,17.8,18.127222347977707,18.350968249517692,0.3272223479777061,0.5509682495176911
0.30937713894592744,185.0,15.57,15.86158725848209,16.08179032619809,0.2915872584820889,0.5117903261980885
0.30937713894592744,195.0,11.6,12.004160920515801,12.208184567852811,0.40416092051580144,0.6081845678528115
0.4024640657084189,178.0,21.97,21.995852359130637,22.218622638015972,0.025852359130638547,0.2486226380159735
0.4024640657084189,187.0,18.25,17.923526051647855,18.13892018621496,-0.32647394835214527,-0.1110798137850395
0.8268309377138946,170.0,36.2,36.49202425711748,36.71833995569446,0.29202425711747537,0.5183399556944579
0.8268309377138946,180.0,31.65,31.720918800152305,31.9386657525216,0.070918800152306,0.2886657525216023
0.8268309377138946,185.0,29.5,29.534015948225147,29.746222653509733,0.03401594822514653,0.24622265350973294
0.8268309377138946,195.0,26.05,25.54217991214294,25.741555494963052,-0.5078200878570591,-0.30844450503694887
0.9034907597535934,178.0,34.7,34.267657891309,34.489974356294525,-0.4323421086910031,-0.21002564370547816
0.9034907597535934,187.0,30.0,30.360356750401195,30.572642986161583,0.36035675040119486,0.5726429861615827
