Maturity,Strike,Market,Model_Ana,Diff_Ana,Model_Euler,Diff_Euler
0.14510609171800137,170.0,24.32,23.932784084961142,-0.3872159150388583,23.544073369025796,-0.7759266309742046
0.14510609171800137,180.0,17.65,17.347533951987657,-0.30246604801234156,17.155637238479756,-0.49436276152024305
0.14510609171800137,190.0,12.28,12.002326771719126,-0.2776732282808734,12.03823910137126,-0.24176089862873873
0.14510609171800137,195.0,9.98,9.81002064512252,-0.16997935487747995,9.945372082394513,-0.03462791760548711
0.14510609171800137,210.0,5.07,5.017790176705134,-0.05220982329486645,5.318655701165824,0.24865570116582347
0.22176591375770022,170.0,26.5,26.80873080405165,0.308730804051649,26.363415834056028,-0.13658416594397238
0.47091033538672145,170.0,33.94,34.28156126983407,0.34156126983407376,33.791657709425095,-0.14834229057490234
0.47091033538672145,180.0,28.25,28.5030184611781,0.253018461178101,28.368218047954926,0.11821804795492596
0.47091033538672145,190.0,23.25,23.434398400918468,0.18439840091846804,23.64414894339636,0.39414894339635964
0.47091033538672145,195.0,20.9,21.167167550393188,0.2671675503931894,21.53203694040829,0.6320369404082911
0.47091033538672145,210.0,15.11,15.396415262692301,0.28641526269230155,16.115879097050637,1.005879097050638
0.5667351129363449,180.0,31.0,31.075600990070924,0.07560099007092447,30.945641194541665,-0.05435880545833527
1.3880903490759753,170.0,53.4,53.33758003018232,-0.06241996981767528,52.65679567671572,-0.7432043232842815
1.3880903490759753,180.0,48.54,48.448592309926156,-0.09140769007384364,48.117047999610705,-0.42295200038929437
1.3880903490759753,190.0,44.0,43.94429026136153,-0.05570973863846973,43.953794297342526,-0.046205702657474035
1.3880903490759753,195.0,41.95,41.83266287420554,-0.11733712579446376,42.005644290794976,0.05564429079497302
1.3880903490759753,210.0,36.15,36.03688177857096,-0.11311822142904049,36.65775834843801,0.5077583484380099
1.6399726214921286,170.0,57.75,57.49289164068074,-0.2571083593192611,56.73460327683932,-1.015396723160677
